监测子站名称,城市,时间,季节,SO2,NO2,O3,CO_mg/m3,CO_μg/m3,PM10,PM2.5,SO2_标准化,NO2_标准化,O3_标准化,CO_μg/m3_标准化,PM10_标准化,PM2.5_标准化,SO2_环比变化率(%),NO2_环比变化率(%),O3_环比变化率(%),CO_μg/m3_环比变化率(%),PM10_环比变化率(%),PM2.5_环比变化率(%),综合污染指数
南沙大稳 (广州),广州,2021-10,秋季,8,38,92,0.7,700.0,52,22,0.5,0.653846153846154,0.6597938144329897,0.5714285714285714,0.7068965517241379,0.3809523809523809,100.0,11.764705882352944,-1.0752688172043001,-12.5,1.9607843137254832,-29.032258064516125,3.472917472384234
南沙科大 (广州) ,广州,2021-10,秋季,8,17,95,0.4,400.0,42,22,0.5,0.25,0.6907216494845361,0.14285714285714285,0.5344827586206897,0.3809523809523809,0.0,-55.263157894736835,3.2608695652173836,-42.85714285714286,-19.23076923076923,0.0,2.4990139319147495
天湖 (广州) ,广州,2021-10,秋季,8,9,111,0.6,600.0,37,20,0.5,0.09615384615384615,0.8556701030927835,0.42857142857142855,0.44827586206896547,0.3333333333333333,0.0,-47.05882352941176,16.842105263157904,50.0,-11.904761904761907,-9.090909090909093,2.662004573220357
竹洞 (广州),广州,2021-10,秋季,9,24,94,0.6,600.0,38,20,0.5833333333333334,0.38461538461538464,0.6804123711340206,0.42857142857142855,0.46551724137931033,0.3333333333333333,12.5,166.66666666666666,-15.315315315315313,0.0,2.7027027027026973,0.0,2.8757830923668113
麓湖 (广州),广州,2021-10,秋季,5,28,92,0.6,600.0,45,25,0.24999999999999997,0.4615384615384616,0.6597938144329897,0.42857142857142855,0.5862068965517242,0.4523809523809524,-44.44444444444444,16.666666666666675,-2.127659574468088,0.0,18.421052631578938,25.0,2.8384915534755564
南沙大稳 (广州),广州,2021-11,秋季,6,44,42,0.8,800.0,39,17,0.33333333333333337,0.7692307692307694,0.14432989690721654,0.7142857142857142,0.4827586206896552,0.2619047619047619,19.999999999999996,57.14285714285714,-54.347826086956516,33.33333333333333,-13.33333333333333,-31.999999999999996,2.70584309635145
南沙科大 (广州) ,广州,2021-11,秋季,6,27,49,0.6,600.0,32,21,0.33333333333333337,0.44230769230769235,0.21649484536082475,0.42857142857142855,0.3620689655172414,0.35714285714285715,0.0,-38.63636363636363,16.666666666666675,-25.0,-17.948717948717952,23.529411764705888,2.1399191222333775
天湖 (广州) ,广州,2021-11,秋季,4,10,68,0.6,600.0,25,16,0.16666666666666666,0.11538461538461539,0.41237113402061853,0.42857142857142855,0.24137931034482757,0.23809523809523808,-33.333333333333336,-62.96296296296296,38.775510204081634,0.0,-21.875,-23.809523809523814,1.602468393083395
竹洞 (广州),广州,2021-11,秋季,6,27,47,0.8,800.0,35,21,0.33333333333333337,0.44230769230769235,0.19587628865979384,0.7142857142857142,0.41379310344827586,0.35714285714285715,50.0,170.00000000000003,-30.88235294117647,33.33333333333333,39.99999999999999,31.25,2.456738989177667
麓湖 (广州),广州,2021-11,秋季,3,34,40,0.7,700.0,37,23,0.08333333333333334,0.5769230769230769,0.12371134020618557,0.5714285714285714,0.44827586206896547,0.4047619047619047,-50.0,25.92592592592593,-14.893617021276595,-12.5,5.714285714285716,9.523809523809534,2.2084340887220377
